날짜,종가,시가,고가,저가,거래량,수정종가
2023-02-22,148.91000366210938,148.8699951171875,149.9499969482422,147.16000366210938,51011300,148.70431518554688
2023-02-23,149.39999389648438,150.08999633789062,150.33999633789062,147.24000549316406,48394200,149.19363403320312
2023-02-24,146.7100067138672,147.11000061035156,147.19000244140625,145.72000122070312,55469600,146.50735473632812
2023-02-27,147.9199981689453,147.7100067138672,149.1699981689453,147.4499969482422,44998500,147.71568298339844
2023-02-28,147.41000366210938,147.0500030517578,149.0800018310547,146.8300018310547,50547000,147.20639038085938
2023-03-01,145.30999755859375,146.8300018310547,147.22999572753906,145.00999450683594,55479000,145.10928344726562
2023-03-02,145.91000366210938,144.3800048828125,146.7100067138672,143.89999389648438,52238100,145.70846557617188
2023-03-03,151.02999877929688,148.0399932861328,151.11000061035156,147.3300018310547,70732300,150.82138061523438
2023-03-06,153.8300018310547,153.7899932861328,156.3000030517578,153.4600067138672,87558000,153.61752319335938
2023-03-07,151.60000610351562,153.6999969482422,154.02999877929688,151.1300048828125,56182000,151.39060974121094
2023-03-08,152.8699951171875,152.80999755859375,153.47000122070312,151.8300018310547,47204800,152.65884399414062
2023-03-09,150.58999633789062,153.55999755859375,154.5399932861328,150.22999572753906,53833600,150.38198852539062
2023-03-10,148.5,150.2100067138672,150.94000244140625,147.61000061035156,68572400,148.2948760986328
2023-03-13,150.47000122070312,147.80999755859375,153.13999938964844,147.6999969482422,84457100,150.2621612548828
2023-03-14,152.58999633789062,151.27999877929688,153.39999389648438,150.10000610351562,73695900,152.3792266845703
2023-03-15,152.99000549316406,151.19000244140625,153.25,149.9199981689453,77167900,152.7786865234375
2023-03-16,155.85000610351562,152.16000366210938,156.4600067138672,151.63999938964844,76161100,155.63473510742188
2023-03-17,155.0,156.0800018310547,156.74000549316406,154.27999877929688,98944600,154.78590393066406
2023-03-20,157.39999389648438,155.07000732421875,157.82000732421875,154.14999389648438,73641400,157.18258666992188
2023-03-21,159.27999877929688,157.32000732421875,159.39999389648438,156.5399932861328,73938300,159.0599822998047
2023-03-22,157.8300018310547,159.3000030517578,162.13999938964844,157.80999755859375,75701800,157.61199951171875
2023-03-23,158.92999267578125,158.8300018310547,161.5500030517578,157.67999267578125,67622100,158.71046447753906
2023-03-24,160.25,158.86000061035156,160.33999633789062,157.85000610351562,59196500,160.02865600585938
2023-03-27,158.27999877929688,159.94000244140625,160.77000427246094,157.8699951171875,52390300,158.06137084960938
